Exomiser_version,PhenotypeScore,Rank,CombinedScore
exomiser_11,0.0,Medium,0.016158026
exomiser_11,0.0,Medium,0.010671314
exomiser_11,0.0,Medium,0.016158026
exomiser_11,0.0,Medium,0.010671314
exomiser_11,0.50000006,Medium,0.7489341
exomiser_11,0.50016713,Low,0.6701696
exomiser_11,0.727042,Low,0.83426535
exomiser_11,0.727042,Low,0.83426535
exomiser_11,0.5002943,NA,0.6201282
exomiser_11,0.5000006,High,0.74893516
exomiser_11,0.5000006,High,0.74893516
exomiser_11,0.18827221,Medium,0.089928895
exomiser_11,0.50001067,Medium,0.47954133
exomiser_11,0.50001067,Medium,0.47954133
exomiser_11,0.5000121,Medium,0.6949032
exomiser_11,0.0,NA,0.012493071
exomiser_11,0.0,Medium,0.010462466
exomiser_11,0.0,Medium,0.010462466
exomiser_11,0.50000215,Medium,0.63325125
exomiser_11,0.50000215,Medium,0.63325125
exomiser_11,0.5001811,NA,0.748869
exomiser_11,0.5001811,NA,0.748869
exomiser_11,0.5000111,NA,0.69260055
exomiser_11,0.48209357,Medium,0.7093562
exomiser_11,0.48209357,Medium,0.7093562
exomiser_11,0.48209357,Medium,0.7093562
exomiser_11,0.50000083,High,0.7427753
exomiser_11,0.50000083,High,0.7427753
exomiser_11,0.58847684,Diagnosed,0.15963915
exomiser_11,0.0,Low,0.016169308
exomiser_11,0.5002117,Medium,0.74934757
exomiser_11,0.50005275,NA,0.74343354
exomiser_11,0.39435574,Medium,0.13682117
exomiser_11,0.50202966,High,0.583133
exomiser_11,0.50202966,High,0.583133
exomiser_11,0.500006,Low,0.7489458
exomiser_11,0.5001127,High,0.7491542
exomiser_11,0.2766417,High,0.1902322
exomiser_11,0.2766417,High,0.1902322
exomiser_11,0.5000006,Diagnosed,0.74893516
exomiser_11,0.0,Medium,0.016233366
exomiser_11,0.0,Low,0.014496005
exomiser_11,0.0,Medium,0.014439333
exomiser_11,0.0,Medium,0.014439333
exomiser_11,0.50000083,High,0.6236758
exomiser_11,0.50000906,Medium,0.74034745
exomiser_11,0.50000906,Medium,0.74034745
exomiser_11,0.0,NA,0.016232928
exomiser_11,0.655493,Diagnosed,0.93756783
exomiser_11,0.50005394,Medium,0.7490394
exomiser_11,0.5159935,High,0.31029043
exomiser_11,0.50001276,High,0.74580586
exomiser_11,0.50001276,High,0.74580586
exomiser_11,0.0,Diagnosed,0.016233366
exomiser_11,0.0,High,0.016233366
exomiser_11,0.30357894,Diagnosed,0.27596664
exomiser_11,0.35871768,High,0.40337613
exomiser_11,0.5000207,High,0.74649054
exomiser_11,0.0,Medium,0.0105367955
exomiser_11,0.0,Low,0.016087353
exomiser_11,0.0,Low,0.016087353
exomiser_11,0.0,Medium,0.0105367955
exomiser_11,0.0,Low,0.016087353
exomiser_11,0.50000024,Medium,0.7376481
exomiser_11,0.50000024,Medium,0.7376481
exomiser_11,0.5000417,High,0.7490155
exomiser_11,0.0,Medium,0.01603182
exomiser_11,0.0,Medium,0.016233366
exomiser_11,0.6151298,High,0.9080165
exomiser_11,0.18001421,NA,0.096811935
exomiser_11,0.10835506,Medium,0.04577421
exomiser_11,0.10835506,Medium,0.04577421
exomiser_11,0.5001497,Low,0.7405006
exomiser_11,0.5001497,Low,0.7405006
exomiser_11,0.0,Medium,0.012158047
exomiser_11,0.0,Medium,0.012158047
exomiser_11,0.0,NA,0.013346024
exomiser_11,0.0,NA,0.013346024
exomiser_11,0.0,Medium,0.00882332
exomiser_11,0.0,Medium,0.00882332
exomiser_11,0.50000006,Medium,0.73491764
exomiser_11,0.50000006,Medium,0.73491764
exomiser_11,0.0,Medium,0.014619412
exomiser_11,0.0,Medium,0.014619412
exomiser_11,0.5000493,Medium,0.35077694
exomiser_11,0.5000493,Medium,0.35077694
exomiser_11,0.51721567,Diagnosed,0.781065
